,alpha,beta,delta
0,4.082625284052852e-08,4.860268195301014e-08,1.4762195630301814e-09
1,3.6577869959890526e-07,4.3545083285583955e-07,1.0781402430649649e-08
2,9.014596408318403e-07,1.0731662390855243e-06,2.5688358324581295e-08
3,1.623992988663128e-06,1.9333249865037233e-06,4.447312150873667e-08
4,2.2101446472605716e-06,2.6311245800721087e-06,5.957415342605411e-08
5,2.1509525834014422e-06,2.5606578373826693e-06,5.9426512666666205e-08
6,2.0531022535318176e-06,2.44416934944264e-06,5.644380957058354e-08
7,1.8623823649289185e-06,2.2171218630106173e-06,4.99054007988618e-08
8,1.3056419621996425e-06,1.5543356692852885e-06,3.535846001168014e-08
9,7.928124588805235e-07,9.438243558101469e-07,2.1856414466510738e-08
10,5.420216110790415e-07,6.452638227131446e-07,1.45415325427437e-08
11,2.0931673097194695e-07,2.4918658449041304e-07,5.8765253833756205e-09
12,1.5764125783999113e-08,1.8766816409522754e-08,5.692321765540226e-10
13,8.4e-09,1e-08,1e-08
14,8.4e-09,1e-08,1e-08
